"latitude";"longitude";"unixtime";"velocidad";"file_name"
41.903634;12.488655;12:01:57;0;85
41.919683;12.500635;12:01:57;0;88
41.899180;12.489996;12:01:58;0;119
41.897142;12.498017;12:01:59;0;113
41.903858;12.501499;12:01:59;12;141
41.904250;12.494320;12:01:59;0;242
41.910374;12.490054;12:01:59;16;301
41.902116;12.502723;12:01:59;0;84
41.910982;12.498370;12:02:00;0;194
41.907974;12.491890;12:02:00;0;237
41.906339;12.481685;12:02:00;0;253
41.916133;12.511356;12:02:01;0;163
41.910159;12.498445;12:02:01;7;171
41.891263;12.491023;12:02:01;9;186
41.901394;12.501232;12:02:02;3;110
41.901189;12.500909;12:02:02;0;182
41.908270;12.489198;12:02:02;20;24
41.919493;12.494926;12:02:02;0;3
41.903843;12.489094;12:02:03;0;131
41.917884;12.491538;12:02:03;3;138
41.902409;12.483457;12:02:03;54;200
41.902750;12.499804;12:02:03;0;287
41.907621;12.490610;12:02:03;0;349
41.904869;12.488160;12:02:03;39;48
41.907645;12.490327;12:02:03;0;81
41.901140;12.500973;12:02:04;0;106
41.901318;12.501065;12:02:04;0;246
41.90786;12.491658;12:02:04;0;320
41.88048;12.508531;12:02:04;0;363
41.906480;12.481796;12:02:05;0;107
41.901283;12.494086;12:02:05;25;261
41.907860;12.504473;12:02:05;22;330
41.903156;12.496076;12:02:06;1;100
41.903521;12.488364;12:02:06;16;126
41.893725;12.504657;12:02:06;25;169
41.902444;12.483911;12:02:06;0;256
41.899620;12.481079;12:02:06;3;294
41.904338;12.502084;12:02:06;0;303
41.911830;12.498913;12:02:06;15;367
41.917897;12.491655;12:02:06;0;75
41.910155;12.498352;12:02:07;2;262
41.901871;12.511966;12:02:07;0;339
41.903634;12.488655;12:02:07;0;85
41.919683;12.500635;12:02:07;0;88
41.899180;12.489996;12:02:08;16;119
41.886618;12.507908;12:02:08;0;31
41.897140;12.498038;12:02:09;1;113
41.903623;12.501246;12:02:09;6;141
41.907974;12.491890;12:02:09;0;237
41.904255;12.494318;12:02:09;0;242
41.910124;12.489630;12:02:09;0;301
41.904390;12.488628;12:02:09;19;48
41.891265;12.491320;12:02:10;35;186
41.910982;12.498370;12:02:10;0;194
41.906339;12.481685;12:02:10;0;253
41.902116;12.502723;12:02:10;0;84
41.910330;12.498371;12:02:11;18;171
41.917956;12.491589;12:02:12;2;138
41.901189;12.500909;12:02:12;0;182
41.902782;12.485020;12:02:12;2;200
41.907822;12.489506;12:02:12;2;24
41.919493;12.494926;12:02:12;0;3
41.88048;12.508531;12:02:12;0;363
41.907645;12.490327;12:02:12;0;81
41.903843;12.489094;12:02:13;0;131
41.901140;12.500973;12:02:14;0;106
41.901357;12.501111;12:02:14;2;110
41.901318;12.501065;12:02:14;0;246
41.902750;12.499804;12:02:14;0;287
41.907866;12.491676;12:02:14;3;320
41.907642;12.490609;12:02:14;0;349
41.903158;12.496038;12:02:15;2;100
41.906480;12.481796;12:02:15;0;107
41.902449;12.483900;12:02:15;0;256
41.901721;12.494694;12:02:15;20;261
41.903681;12.488874;12:02:16;17;126
41.893374;12.505361;12:02:16;29;169
41.899493;12.489740;12:02:17;10;119
41.904317;12.502101;12:02:17;1;303
41.901867;12.511962;12:02:17;0;339
41.917897;12.491655;12:02:17;0;75
41.903634;12.488655;12:02:17;0;85
41.919683;12.500635;12:02:18;0;88
41.897167;12.498066;12:02:19;1;113
41.903501;12.501116;12:02:19;7;141
41.899507;12.481096;12:02:19;23;294
41.910124;12.489630;12:02:19;31;301
41.912120;12.499489;12:02:19;32;367
41.903906;12.488633;12:02:19;8;48
41.902116;12.502723;12:02:19;0;84
41.906339;12.481685;12:02:20;0;253
41.886618;12.507908;12:02:20;8;31
41.902800;12.485092;12:02:21;0;200
41.904270;12.494331;12:02:21;1;242
41.917948;12.491661;12:02:22;1;138
41.910655;12.498889;12:02:22;18;171
41.901189;12.500909;12:02:22;0;182
41.910982;12.498370;12:02:22;0;194
41.907768;12.489538;12:02:22;20;24
41.88048;12.508531;12:02:22;0;363
41.907636;12.490329;12:02:22;0;81
41.901324;12.501069;12:02:23;0;110
41.903843;12.489094;12:02:23;0;131
41.907974;12.491890;12:02:23;0;237
41.919493;12.494926;12:02:23;0;3
41.907646;12.490595;12:02:23;0;349
41.901140;12.500973;12:02:24;0;106
41.901318;12.501065;12:02:24;0;246
41.907785;12.491735;12:02:24;0;320
41.903179;12.496130;12:02:25;0;100
41.906480;12.481796;12:02:25;0;107
41.891026;12.493065;12:02:25;77;186
41.902443;12.483876;12:02:25;0;256
41.902030;12.495223;12:02:25;0;261
41.904109;12.488878;12:02:26;14;126
41.893943;12.505970;12:02:26;12;169
41.899109;12.481224;12:02:26;30;294
41.904345;12.502070;12:02:26;2;303
41.906761;12.505053;12:02:26;0;330
41.906076;12.505352;12:02:26;0;330
41.906076;12.505352;12:02:26;44;330
41.912463;12.500107;12:02:26;26;367
41.917897;12.491655;12:02:26;0;75
41.903635;12.488658;12:02:26;0;85
41.899688;12.489504;12:02:27;0;119
41.901865;12.511949;12:02:27;0;339
41.903325;12.501095;12:02:28;6;141
41.907974;12.491890;12:02:28;0;237
41.886720;12.508088;12:02:28;4;31
41.905887;12.505201;12:02:28;43;330
41.919683;12.500635;12:02:28;0;88
41.897189;12.498038;12:02:29;0;113
41.890623;12.493958;12:02:29;1;186
